,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
0,1.05,16.02,1.1,2.85,2.73,83.38,2.29,4.28,12.64,4.3,1.05,17.13,11.61,1.2,588.17,0.8,0.38,13.41,156.78,75.6,-0.46,24.4,5.52,80.57,309.86,170.19,18.45,68.83,208.71,273.08,142.4,30.88,2.54,-16.01,15.69,5.75,0.12,3.54,0.99,207850,33300,5680,87,-19,5662,4681,1870,2510,1473,453354,222500,342742,277026,109320,4.5,4.92,54.86,1.7,0.94,0.48,159.13,559.82,0.99,273.2,0.01,0.01,0.53,0.01,0.91,002863
1,0.72,20.79,0.72,3,2.76,78.59,1.59,1.47,5.18,1.33,0.72,31.57,13.77,46.49,744.84,1.54,1.19,40.06,444.33,46.03,0.16,53.97,3.38,122.08,85.28,69.09,5.9,73.63,73.42,79.11,218.51,22.97,-9.18,-68.7,-3.84,-6.89,0.06,0,1.26,155888,32403,4306,1978,44,4350,2654,952,6198,-5585,346331,209087,159409,136152,180700,1.48,3.14,86,2.64,1.03,0.45,102.39,600.53,0.75,358.99,0.04,0.02,2.49,0.04,4.55,002590
2,1.02,18.12,1.03,4.99,4.62,80.99,4.24,1.31,9.29,1.31,1.02,19.73,10.81,7.82,391.54,1.92,1.4,31.36,402.93,21.86,-0.59,78.14,2.81,296.69,27.98,120.28,5.62,52.36,74.92,27.65,197.87,25.69,-12.06,-74.51,0.41,0.29,0.09,4.66,0.37,35012,6344,1619,125,1,1620,1486,908,5356,2886,145183,60194,31740,31366,113443,1.32,2.65,102.04,1.72,0.6,0.24,156.59,1115.24,0.51,525.19,0.15,0.04,3.61,0.17,17.08,300733
3,2.74,28.9,3.2,10.37,9.15,70.03,8.36,4.58,9.95,4.64,2.74,28.55,17.45,12.04,314.71,2.14,1.7,109.05,1513.41,41.04,1.16,58.96,23.23,447.51,69.61,75.9,28.27,62.89,105.81,69.15,237.97,19.36,7.1,-30.14,2.19,46.25,0.1,1.39,0.07,23801,6879,2177,254,9,2186,1967,1495,4481,414,72756,27365,29859,12759,42986,4.6,3.59,75.13,3.41,1.56,0.38,79.21,706.25,0.71,378.31,0.19,0.06,2.25,0.15,35.12,300643
4,1.82,24.19,2.09,6.52,5.66,74.75,5.21,3.43,17.59,3.39,1.82,25.47,13.48,12.44,415.6,1.4,1.07,38.87,702.29,46.35,0.39,53.65,5.79,198.79,86.4,80.97,9.74,68.43,89.7,79.81,220.01,31.94,21.4,1.43,6.67,48.64,0.17,3.75,0.31,29756,7198,1685,168,47,1732,1519,1262,2385,4228,85096,44145,39443,31509,44329,3.43,2.51,107.37,2.43,0.82,0.4,111.08,672.81,0.78,346.2,0.08,0.03,1.54,0.06,7.57,603286
5,4.06,24.78,4.39,9.69,8.59,74.57,7.29,7.23,48.97,7.1,4.06,23.75,13.72,10.28,287.67,1.77,1.25,43.73,1693.52,42.9,0.4,57.1,9.57,251.1,75.12,68.18,14.35,67.58,79.6,70.59,232.17,27.95,65.08,21.37,-0.97,20.34,0.5,5.85,-0.12,107843,26726,9260,924,31,9291,7867,5309,12289,6607,193674,105640,83079,59543,108796,6.88,5.68,47.5,2.88,1.18,0.6,93.6,447.98,1.06,255.44,0.11,0.06,1.56,0.15,20.64,603926
6,4.77,31.64,5.02,17.44,13.87,67.2,12.7,7.75,39.5,7.66,4.77,33.05,11.99,25.66,225.69,1.43,0.99,33.85,1125.39,37.8,0.17,62.2,2.5,241.34,60.78,78.63,3.87,69.7,81.8,59.13,261.17,26.57,-8.51,-1.96,0.85,17.11,0.36,4.33,1.42,67495,21352,9361,2328,100,9461,7883,7486,14383,-519,179787,88318,67962,61622,101757,8,2.48,109,1.81,0.96,0.4,149.25,682.34,0.75,361.2,0.21,0.08,1.68,0.21,23.34,603158
7,-1.36,0.8,-1.33,-5.4,-6.36,97.61,-4.32,-4.31,-9.01,-2.66,-1.36,-1.52,16.37,-62.77,-12.86,0.56,0.44,18.89,-1685.18,48.9,0.04,51.1,1.14,150.67,95.68,53.81,1.78,46.51,143.6,92.25,255.14,32.91,-15.07,-1580.68,-27.38,-13.13,-0.12,4,-0.1,343504,13262,-21833,13068,391,-21442,-20148,-36266,30138,12508,1090139,290103,533027,513962,467124,-4.22,3.28,82.23,4.97,0.62,0.31,54.38,878.62,1.12,240.17,0.09,0.03,-49.26,0.06,5.86,000572
8,3.47,11.73,3.51,5.7,5.47,87.51,4.86,8.5,238.33,9.47,3.47,12.61,10.09,66.38,209.11,1.16,1.02,46.81,4878.18,63.39,0.34,36.61,2.82,365.37,173.18,102.81,7.15,59.05,110.73,147.29,182.14,10.03,-13.62,-27.04,5.27,9.36,1.78,11.59,1.64,57281932,7501080,3130499,2050342,82331,3212830,2079258,1881549,2548947,-106116,80306934,47756224,50910171,41035297,24460474,8.65,13.18,20.48,8.48,4.78,0.72,31.85,373.75,1.23,219.41,0.04,0.03,0.92,0.05,6.21,600104
9,0.54,16.04,0.57,1.31,1.1,83.35,0.95,-1.95,14.53,1.23,0.54,36.65,11.25,26.34,1289.02,1.3,0.97,27.1,189.5,56.59,0.32,43.41,4.53,192.52,130.38,82.54,9.44,68.08,91.14,117.22,191.64,25.72,-7.96,-81.75,13.81,10.75,-0.19,1.01,0,839153,134586,9216,1525,1225,10441,-8966,-12200,-83157,-24969,1493180,902449,845046,692180,459437,-2.13,3.24,83.34,3.41,0.37,0.6,79.25,453.78,1.01,266.85,-0.1,-0.06,-10.4,-0.1,-12.01,600480
