,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
0,2.64,42.34,2.78,10.03,8.73,56.43,5.95,4.1,12.9,4.1,2.64,41.6,29.91,-1.06,482.19,1.17,0.39,12.98,966.91,35.52,0,64.48,0,151.24,55.08,92.79,0,72.11,92.79,53.12,288.2,42.27,26.83,-4.46,6.16,17.77,0.1,2.38,-0.02,236687,100203,20668,-332,113,20781,11394,11093,2326,-14739,532949,214082,189298,182563,278152,3.97,9.01,29.96,0.91,0.79,0.47,297.55,577.79,1.09,248.5,0.01,0,0.17,0.01,1.27,600488
1,4.97,35.13,4.92,14.36,12.18,64.44,9.49,9.95,64.57,10.38,4.97,34.28,20.1,11.4,287.82,1.11,0.9,16.32,575.02,52.1,1.19,47.9,5.94,506.53,108.76,92.64,11.03,48.78,104.13,106.59,188.14,9.01,0.26,5.14,-3.49,1.21,0.6,3.86,0.07,235439,82712,28674,3212,64,28738,20541,17157,25618,-8452,449585,225332,234223,202858,206484,10.4,1.87,144.14,3.76,3.66,0.52,71.84,521.34,1.02,265.7,0.11,0.06,1.15,0.11,12.63,300439
2,2.69,75.16,2.68,12.4,10.75,22.89,9.16,2.89,20.64,3.36,2.69,76.31,62.37,0.6,695.12,4.4,0.79,13.36,713.74,19.93,0.01,80.07,0.51,272.36,24.89,25.37,0.64,66.76,25.53,23.21,526.39,24.12,-0.56,-0.07,4.36,-2.58,0.17,3.59,0.33,74585,56056,8016,-1.0,48,8064,5531,5022,12865,2251,254007,202081,50625,45908,191092,2.94,3.87,69.7,0.1,0.9,0.29,2639.3,921.82,0.37,730.32,0.17,0.05,1.88,0.25,28.02,002566
3,4.68,66.59,4.78,14.57,12.37,31.78,10.11,6.08,8.6,6.08,4.68,69.41,51.58,-2.28,537.92,3.43,3.03,143.62,-1142.68,23.02,0.0,76.98,0.0,462.29,29.91,91.98,0.0,63.23,32.7,28.36,218.06,16.72,21.7,234.66,6.28,9.55,0.09,1.5,-0.25,52431,34914,6483,-156,7,6491,5299,5260,1994,760,113248,84738,26075,24719,87173,6.15,1.77,152.86,1.86,1.82,0.47,145.51,570.7,0.64,420.76,0.04,0.02,0.38,0.08,8.07,000790
4,9.51,77.43,9.47,21.58,16.9,21.35,14.09,12.12,104.09,12.01,9.51,76.78,57.55,5.24,447.8,4,3.68,131.56,6968.48,20.8,0.25,79.2,13.59,756.83,26.26,36.66,16.8,60.11,41.66,21.14,276.93,11.21,9.95,31.08,13.77,-3.27,1.04,3.69,0.36,119111,92233,20129,612,468,20597,16777,15022,21053,-36317,176361,118177,36681,29524,138396,12.35,4.77,56.6,2.93,4.38,0.67,92.3,401.73,0.99,272.04,0.18,0.12,1.25,0.57,71.31,300723
5,-0.34,32.61,-0.34,-2.59,-8.98,66.18,-4.94,-0.71,-0.94,-0.44,-0.34,36.75,34.24,-285.9,-1238.79,3.59,2.31,109.77,162.98,23.4,0.02,76.6,0.78,501.34,30.54,62.1,1,78.91,62.73,19.9,639.63,15.15,-26.62,-161.76,-31.28,-22.05,-0.01,2.91,-0.41,37858,12346,-3400,446,2403,-997,-2843,-7980,54048,-27980,554155,287874,129658,80159,402661,-0.7,1.58,171.33,0.25,0.35,0.07,1087.83,3982.3,0.11,2463.5,1.43,0.1,18.48,0.42,67.43,600568
6,0.52,25.63,0.53,2.37,2.32,73.48,2.14,0.84,2.13,0.84,0.52,16.6,21.48,62.2,1128.06,1.21,0.85,20.05,194.95,38.09,0.01,61.91,0.05,131.83,61.53,111.26,0.07,69.35,111.34,41.51,377.12,0,-16.41,-74.54,1.62,6.37,0.02,2.12,1.02,89831,23024,2081,1310,-40,2041,1922,-60,-11103,-37598,370325,115076,141070,94994,229255,0.84,4.87,55.39,2.1,1.14,0.25,128.27,1094.89,0.69,389.78,-0.12,-0.03,-5.78,-0.08,-11.69,002562
7,11.9,70,12.45,66.08,37.25,28.9,32.53,13.4,78.76,13.36,11.9,71.55,26.04,6.46,189.02,7.19,6.28,107.16,-12515.61,10.92,,89.08,,1011.11,12.26,,,63.21,27.1,11.84,,8.62,39.0,13.5,18.15,19.23,0.77,3.46,1.58,63056,44138,23486,1644,-135,23351,19887,17213,5567,4737,172386,130767,18827,18181,148379,14.04,5.64,47.9,1.25,3.08,0.38,216.48,705.33,0.49,554.53,0.09,0.03,0.27,0.3,30.62,603387
8,3.02,38.64,3.05,9.58,8.95,60.71,6.77,7.26,80.54,7.79,3.02,39.53,28.31,15.11,450.05,1.07,0.87,16.04,321.92,61.29,3.6,38.71,12.4,322.81,158.3,98.78,24.27,72.45,130.43,151.02,159.15,12.5,18.95,16.77,-18.62,-1.99,0.51,6.22,-0.18,1610364,622257,144117,26742,-5852,138265,74560,50722,100963,-157825,3613978,1789067,2214856,1664688,1026332,6.18,2.2,122.97,2.95,2.32,0.45,91.59,599.87,0.92,292.94,0.06,0.03,0.93,0.05,6.07,600079
9,3.49,50.68,3.55,10.44,6.98,47.93,8.24,6.07,16.94,6.86,3.49,54.59,41.85,26.68,532.55,1.63,1.26,13.93,464.5,49.2,0.25,50.8,6.09,295.48,96.86,65.6,10.71,60.32,73.47,87.89,214.93,17.22,26.17,5.29,-2.07,4.04,0.14,1.17,0.32,154881,78494,10815,7,3924,14739,10178,7104,6781,-18013,365929,229365,180042,141079,167695,6.05,1.41,191.16,1.42,1.67,0.43,189.97,626.45,0.69,391.7,0.04,0.02,0.53,0.04,4.81,000931
