,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
0,11.09,35.34,11.36,30.16,22.38,63.72,18.89,18.41,76.86,18.46,11.09,39.54,9.83,-1.21,157.31,1.98,1.83,86.02,-5510.07,39.94,0.39,60.06,10.18,144.27,66.49,68.27,14.91,75.36,35.58,66.17,251.39,33.91,49.86,95.39,31.23,45.32,0.77,10.63,5.94,74453,26312,16664,-264,62,16727,13896,12789,12353,1611,126828,99723,50653,50408,75492,20.04,2.47,109.4,6.36,0.82,0.6,42.47,448.95,0.77,349.47,0.17,0.1,0.88,0.24,24.51,300632
1,1.23,8.85,1.38,2.05,2.02,91.03,1.82,6,35.33,5.84,1.23,8.49,5.55,-1.33,446.36,1.07,0.68,16.7,237.9,78.9,0.2,21.1,1.03,200.34,374.03,80.46,4.66,83.41,84.39,369.66,127.89,12.05,38.29,-17.79,15.12,28.13,0.36,5.65,0.04,393087,34790,7938,40,-144,7794,7330,1182,-1074,-22908,581914,478316,459155,447789,122176,6.18,2.59,104.4,2.41,4.29,0.76,111.96,355.64,0.91,295.31,-0,-0,-0.15,-0,-0.24,002845
2,6.49,25.88,7.56,17.4,14.31,73.52,12.57,7.86,47.95,7.87,6.49,27.81,7.95,-0.23,181.21,4.45,4.06,144.5,-2214.36,17.61,,82.39,,300.73,21.37,,,39.9,28.27,20.92,,24.19,-2.16,-9.68,6.89,2.81,0.59,4.81,0.17,79352,20533,11357,0.0,-26,11331,9826,8595,3165,1774,153737,117928,27065,26501,124956,11.63,3.47,77.86,6.3,1.04,0.6,42.86,448.8,0.81,332.35,0.04,0.02,0.32,0.12,11.94,603115
3,4.61,29.66,4.79,10.82,9.47,69.32,8.13,6.16,24.51,6.15,4.61,29.1,17.27,5,312.99,2.88,2.05,125.34,-1538.72,25.13,0.1,74.87,5.02,316.87,33.57,36.57,6.21,65.84,39.71,32.64,409.99,24.08,2.45,-7.3,2.81,3.2,0.24,3.52,0.1,29591,8776,2803,139,1,2804,2403,2250,398,-700,52242,36709,13129,12766,39015,6.19,3.52,76.7,2.34,1.58,0.59,115.43,458.09,0.85,316.23,0.01,0.01,0.17,0.03,3.12,300743
4,1.59,15.69,1.65,5.43,4.86,83.72,4.41,3.84,50.48,3.84,1.59,26.02,6.48,1.4,318.12,0.78,0.65,20.34,330.69,58.56,-2.29,41.44,16.85,94.89,141.29,127.84,28.91,66.26,179.82,119.9,194.84,36.63,7.74,-18.92,2.42,7.43,0.5,1.89,0.08,2342151,367429,113862,-19,1637,115500,103381,54502,254255,65486,6497159,1655258,3804533,2133500,2692626,3.91,3.52,76.63,6.68,0.61,0.37,40.4,720.58,1.51,179.21,0.11,0.04,2.46,0.07,11.92,000050
5,3.1,10.62,3.28,5.83,5.57,88.96,5.41,6,40.37,6.18,3.1,11.62,6.98,96.43,189.05,1.23,0.93,22.76,539.48,49.77,0.06,50.23,0.7,520.02,99.08,80.78,1.18,49.53,79.78,97.37,244.61,9.81,32.46,-9.58,7.55,25.89,0.35,3.47,-0.08,330687,35112,18425,17763,147,18573,15473,14075,-9539,-4396,577080,345824,287206,282245,257738,6.15,2.86,94.4,3.75,3.77,0.61,71.93,445.18,1.01,266.96,-0.03,-0.02,-0.53,-0.03,-3.38,600363
6,9.47,26.8,10.59,12.63,10.14,72.98,9.07,21.8,99.45,21.8,9.47,27.1,6.84,-0.05,265.05,1.52,1.27,44.71,6327.76,56.55,,43.45,,2404.16,130.16,,,51.72,33.53,129.36,,1.76,53.53,108.61,32.5,26.96,1,2.38,0.81,132930,35621,13476,30,-37,13439,12052,11104,23174,6575,127248,108713,71962,71520,55286,24.48,3.54,76.36,6.91,39.85,1.17,39.09,231.09,1.33,202.98,0.17,0.18,1.92,0.32,32.4,300638
7,6.15,36.52,6.47,20.57,14.59,63.23,12.85,10.12,232.24,28.1,18.97,71.71,8.6,1.79,246.34,2.8,2.48,18.26,-2559.41,32.49,0,67.51,0,609.27,48.12,58.87,0,46.35,22.18,44.95,410.97,11.08,28.11,17.41,15.69,10.85,0.69,1.2,0,251215,91740,36646,72,596,37242,29652,28094,-43986,-53028,525103,446463,170601,159353,293025,10.52,1.22,221.69,3.57,4.39,0.5,75.59,535.93,0.6,451.81,-0.18,-0.08,-1.36,-0.26,-27.6,002025
8,-0.01,6.84,-0.01,0.95,0.64,92.79,-0.02,0.65,-0.06,-0.01,-0.01,6.77,4.79,16.16,737.79,5.16,4.15,103.8,3393.42,15.15,0.02,84.85,0.89,390.59,17.85,41.72,1.12,58.41,52.58,12.65,526.06,21.33,53.1,-149.68,3.69,-4.38,0.03,3.92,-0.27,164052,11214,1045,-229,475,1520,1689,-1209,28653,-86517,431178,238823,65320,46293,258987,0.68,3.61,74.82,3.35,1.05,0.37,80.49,734.89,0.61,442.99,0.17,0.07,2.46,0.44,61.9,200045
9,9.92,37,9.74,14.68,11.74,62.39,11.18,11.73,114.86,14.4,9.92,37.35,17.08,3.78,314.69,2.51,1.61,46.83,-7926.4,31.13,0.05,68.87,0.94,396.35,45.19,41.22,2.84,62.44,34.87,44.03,147.18,10.33,-3.11,12.5,15.43,2.98,0.82,1.92,1.09,599312,221720,70366,2575,91,70457,48030,43409,-26818,-82025,675655,513412,210309,204878,409590,12.32,3.5,77.13,2.22,1.19,0.87,121.8,309.85,1.13,239.3,-0.04,-0.04,-0.4,-0.13,-13.09,002396
