,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
0,1.99,11.5,1.92,6.81,6.2,88.1,5.64,4.61,13.99,4.69,1.99,11.84,7.23,7.07,176.35,1.29,0.93,16.33,318.44,57.64,0.69,42.36,7.56,121.97,136.09,101.74,15.15,76.4,119.91,108.06,213.39,31.94,-22.97,-58.68,-26.4,-8.02,0.1,1.8,0.76,243501,30457,15086,334,787,15873,9591,2482,70368,2358,691560,340319,398632,264250,207867,4.23,2.53,106.78,2.26,0.68,0.34,119.23,792.49,0.68,399,0.29,0.1,5.13,0.18,26.63,002245
1,5.84,17.67,6.14,22.93,19.27,82.22,14.85,11.57,187.35,11.55,5.84,13.52,3.46,2.58,89.85,1.14,1.13,88.22,2565.4,49.43,2.84,50.57,12.91,131.55,97.74,100.33,20.34,74.01,125.94,88.33,223.36,38.53,13.61,21.61,12.22,12.58,1.87,9.8,-0.25,1156438,204374,222833,1262,4617,227450,171875,158675,319922,325385,2939122,1067227,1452740,933468,1485947,12.19,102.63,2.63,69.69,0.68,0.41,3.87,653.28,1.17,231.3,0.28,0.11,1.86,0.22,34.27,601021
2,4.29,36.64,4.67,106.03,96.64,61.89,72.65,7.48,365.12,7.33,4.29,38.16,27.84,39.5,37.89,0.56,0.55,38.94,676.16,41.51,-0.79,58.49,4.95,347.87,70.96,145.06,7.81,61.49,157.35,32.78,446.19,16.91,404.75,956.23,1491.42,1974.02,1.38,5.55,0.82,901276,330202,870997,343756,543,871541,247027,72505,395655,188888,15263322,1215924,6335563,2170310,3300606,7.74,5.8,46.58,38.99,0.24,0.06,6.93,4205.61,0.79,339.92,0.44,0.03,0.6,0.06,18.23,200022
3,5.01,19.06,5.4,7.7,7.15,80.69,5.32,10.85,94.9,10.49,5.01,25.3,11.74,7.5,267.3,1.23,1.21,40.28,1149.35,52.22,1.04,47.78,8.22,259.05,109.28,104.18,14.67,78.81,122.1,87.82,210.18,18.18,20.5,40.72,13.71,26.67,0.98,2.79,0.11,7877010,1501722,563595,43920,-1785,561810,431150,351129,764723,-446467,8361024,3482969,4365796,2821542,3972749,11.33,9.36,28.84,79.24,0.97,1.01,3.41,266.04,2.36,114.4,0.1,0.09,1.83,0.18,27.1,002352
4,7.5,61.83,7.66,136.41,68.63,37.72,55.86,11.55,60.93,12.75,7.5,75.85,12.06,26.43,90.26,2.06,2.06,195.64,1091.44,41.15,3.34,58.85,27.86,312.05,69.93,96.65,32.13,74.69,142.41,60.68,279.95,29.18,-4.45,-9.51,4.05,6.04,0.53,0,0.22,228050,141011,156510,41569,-274,156236,110773,109754,163478,48358,1697737,274934,698642,133311,958860,11.48,24.6,10.98,8999.15,0.14,0.14,0.03,1969.37,0.92,295.02,0.72,0.1,1.28,0.23,122.63,200429
5,6.81,60.23,6.89,82.67,46.34,38.74,33.51,19.01,114.35,17.59,6.81,14.57,14.47,-2.11,134.3,0.57,0.56,46.89,698.17,61.3,-2.47,38.7,28.08,108.34,158.4,127.18,42.05,90.01,219.46,140.91,181.15,53.44,20.29,27.2,31.57,3.2,1.12,3.84,0.36,169387,102021,78489,925,-2527,75963,55646,57478,94941,-4481,833823,125662,511134,220579,292794,20.35,17.75,15.21,31.08,3.55,0.21,8.69,1312.59,1.45,186.23,0.56,0.11,1.67,0.19,43.04,000885
6,4.37,18.01,5.01,14.47,12.28,81.93,9.66,9.88,63.87,9.89,4.37,29.19,7.82,5.59,138.59,0.71,0.69,33.91,897.14,55.77,-2.43,44.23,20.23,66.93,126.08,123.66,31.38,92.85,180.22,110.43,203.84,41.83,17.02,-13.57,29.27,44.19,0.68,4.01,1.48,1300373,234195,159635,105,9347,168982,123592,115256,205889,102459,2870541,582357,1600860,821389,1250554,12.17,32.61,8.28,65.76,0.8,0.52,4.11,520.73,2.33,115.67,0.16,0.07,1.64,0.13,25.07,603885
7,-8.74,-16.33,-8.67,-17.69,-22.6,116.17,-23.05,-38.12,-62.94,-37.97,-8.74,-8.78,11.44,0.03,72.27,0.8,0.79,6.26,-256.7,76.97,-0.41,23.03,3.51,51.42,334.29,246.44,13.21,88.06,283.97,202.77,211.3,55.97,-44.78,-282.96,-27.59,0.38,-0.63,0.78,0.02,405963,-66313,-91737,35,-25,-91761,-93538,-108301,31285,-26134,1070522,370545,824023,462300,245348,-32.09,2.83,95.42,61.24,0.55,0.38,4.41,718.28,0.98,276.16,0.08,0.03,7.64,0.04,6.77,600179
8,4.88,64.73,4.93,123.54,55.04,34.86,41.3,6.94,31.45,7.35,4.88,65.81,9.4,-0.31,117.29,0.66,0.65,31,898.98,33.69,-1.84,66.31,11.64,81.58,50.81,112.67,14.93,68.85,132.44,45.45,331.83,80.15,6.08,10.05,7.76,1.62,0.24,2.8,0.51,208986,135281,115028,-662,308,115336,66415,66230,94405,2216,1770127,215557,596372,327410,956779,7.15,2.76,97.82,40.84,0.1,0.12,6.61,2261.31,1.14,236.32,0.45,0.05,1.09,0.16,28.83,600033
9,-12.81,4.56,-11.72,-41.39,-66.66,92.61,-65.74,19.45,-8.62,25.72,-12.81,39.96,64.91,-0.65,-6.87,0.21,0.18,2.76,-221.02,456.97,-0.75,-356.97,7.44,272.58,-128.01,119.97,14.8,64.97,-20.15,-37.81,139.65,19.69,-97.17,-143.77,-228.75,-80.6,-0.09,1.81,0.4,13841,631,-9227,19,41,-9186,-9007,-9036,-1814,-690,71023,19928,324553,95869,-260406,0,3.81,70.88,5.55,0.46,0.18,48.61,1514.3,0.57,474.77,-0.13,-0.03,1.64,-0.01,-1.89,002711
